Name	ansi c	asm	sh	perl	tcl	cpp	awk	sed	lisp	csh	yacc	lex	python	pascal	xml	ruby	Total
linux-0.01.tar.gz	156689	25903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182592
linux-0.10.tar.gz	196510	20795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217305
linux-0.12.tar.gz	293237	19645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	312882
linux-0.96c.tar.gz	631411	6129	130	0	0	0	0	0	0	0	0	0	0	0	0	0	637670
linux-0.99.11.tar.gz	2170373	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	2170503
linux-0.99.15.tar.gz	3403924	0	973	0	0	0	0	0	0	0	0	0	0	0	0	0	3404897
linux-0.99.2.tar.Z	1480195	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	1480325
linux-1.0.tar.gz	3457390	0	979	0	0	0	0	0	0	0	0	0	0	0	0	0	3458369
linux-1.1.0.tar.gz	3446868	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	3446998
linux-1.1.23.tar.gz	3864927	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	3865057
linux-1.1.76.tar.gz	5205969	0	0	21060	0	0	0	0	0	0	0	0	0	3516	0	0	5230545
linux-1.2.0.tar.gz	5928837	0	728	21124	0	0	0	0	0	0	0	0	0	3516	0	0	5954205
linux-1.3.0.tar.gz	6511897	0	728	21124	0	0	0	0	0	0	0	0	0	3611	0	0	6537360
linux-1.3.53.tar.gz	9477564	0	1009	21472	11538	6821	1837	0	0	0	0	0	0	3535	0	0	9523776
linux-1.3.7.tar.gz	7213693	0	728	21472	0	0	0	0	0	0	0	0	0	3530	0	0	7239423
linux-2.0.1.tar.gz	14730632	0	1009	21472	11498	6858	2184	0	0	0	0	0	0	3550	0	0	14777203
linux-2.0.tar.gz	14738375	0	1009	21472	11498	6858	2184	0	0	0	0	0	0	3535	0	0	14784931
linux-2.1.0.tar.gz	15133285	0	1009	21472	11498	6858	2184	0	0	0	0	0	0	3600	0	0	15179906
linux-2.1.109.tar.gz	31627339	0	2734	24523	12281	8248	2416	1665	0	0	0	0	0	4162	0	0	31683368
linux-2.1.20.tar.gz	17890510	0	1009	21472	11498	6890	4600	1665	0	0	0	0	0	3600	0	0	17941244
linux-2.1.44.tar.gz	21909661	0	1807	22462	12046	7358	4600	1665	0	0	0	0	0	3585	0	0	21963184
linux-2.1.77.tar.gz	26159085	0	1807	22462	11637	7624	4600	1665	0	0	0	0	0	3585	0	0	26212465
linux-2.2.0.tar.gz	35994384	0	2795	25180	12139	0	2416	1665	0	0	0	0	0	3482	0	0	36042061
linux-2.3.0.tar.gz	38008982	0	2795	25180	12487	0	2416	1665	0	0	0	0	0	3575	0	0	38057100
linux-2.3.10.tar.gz	40734429	0	2795	25180	12487	0	2416	1665	0	0	0	0	0	3575	0	0	40783618
linux-2.3.36.tar.gz	49822246	0	2795	26225	14611	0	2416	1665	0	0	0	0	0	3575	0	0	49873533
linux-2.3.51.tar.gz	55335550	0	2795	27419	14679	0	3186	1665	0	0	0	0	0	3575	0	0	55388869
linux-2.4.0.tar.gz	69390321	0	5125	27921	16672	0	3216	1665	0	0	0	0	0	3088	0	0	69448008
linux-2.4.6.tar.gz	77128187	0	6587	27163	16702	0	3246	1665	0	0	24080	6119	0	3088	0	0	77216837
linux-2.5.0.tar.gz	84536728	0	9273	28424	16702	0	3246	1665	0	0	25051	6947	0	3088	0	0	84631124
linux-2.5.2.tar.gz	85256892	0	9297	28424	16702	0	3246	1665	0	0	25051	6947	0	3088	0	0	85351312
linux-2.5.25.tar.gz	101922914	0	10242	28401	16438	0	3164	1665	0	0	25051	6947	0	3178	0	0	102018000
linux-2.5.54.tar.gz	116432167	0	9382	28549	14446	24184	958	0	0	0	47321	20108	0	3180	0	0	116580295
linux-2.5.74.tar.gz	121690669	0	14082	27904	0	25823	0	0	0	0	56514	26100	0	3180	0	0	121844272
linux-2.6.0.tar.gz	123691506	0	15141	28812	0	25874	0	0	0	0	56514	26104	0	3216	0	0	123847167
linux-2.6.1.tar.gz	122871661	0	15201	28812	0	25907	0	0	0	0	56514	26186	0	3216	0	0	123027497
linux-2.6.11.tar.gz	138164366	0	17518	47336	0	28623	0	0	0	0	56579	26186	1289	0	0	0	138341897
linux-2.6.13.tar.gz	145824040	0	18680	47727	0	29087	0	0	0	0	56579	26186	1289	0	0	0	146003588
linux-2.6.15.tar.gz	151935878	0	18728	47644	0	29087	0	0	0	0	56083	25352	1289	0	0	0	152114061
linux-2.6.17.tar.gz	157753896	0	20695	41361	0	29087	0	0	0	0	56421	25620	1289	0	0	0	157928369
linux-2.6.20.tar.gz	166469947	661	22131	45064	0	35874	0	0	0	0	57045	25620	4749	0	0	0	166661091
linux-2.6.22.tar.gz	174830667	661	24862	64258	0	36212	0	0	0	0	57143	25632	4749	0	0	0	175044184
linux-2.6.24.tar.gz	182220793	640	26298	78342	0	36342	0	0	0	0	56995	25644	4749	0	0	0	182449803
linux-2.6.26.tar.gz	192952568	637	29353	116398	0	36437	0	0	0	0	61567	31326	4749	0	0	0	193233035
linux-2.6.29.tar.gz	223606914	2579	35189	154415	0	36437	0	1803	0	0	62583	31573	7576	0	0	0	223939069
linux-2.6.30.tar.gz	234301443	2579	36624	163847	0	36437	0	1864	0	0	62583	31573	7576	0	0	0	234644526
linux-2.6.33.tar.gz	260694111	2741	38913	219005	0	36535	9122	1864	0	0	62660	31598	7597	0	0	0	261104146
linux-2.6.35.tar.gz	276159644	2741	40226	248249	0	36535	13925	1864	0	0	62896	31598	19117	0	0	0	276616795
linux-2.6.37.tar.gz	294907939	2710	40946	287933	0	37677	13951	1864	0	0	63326	31615	48982	0	0	0	295436943
linux-2.6.8.tar.gz	133738179	0	14367	36680	0	28623	0	0	0	0	56518	26186	1289	3216	0	0	133905058
linux-3.0.tar.gz	309230375	2710	47047	328427	0	37579	13951	1864	0	0	63353	29873	85501	0	0	0	309840680
linux-3.10.tar.gz	358652648	2670	86561	371622	0	37616	14661	1864	0	0	74324	36994	99352	0	0	0	359378312
linux-3.13.tar.gz	379348111	2670	87677	439675	0	37682	14925	1864	0	0	74363	37110	99398	0	0	0	380143475
linux-3.16.tar.gz	398333409	2670	138386	455139	0	37682	15215	1864	0	0	90703	40259	139446	0	0	0	399254773
